rank_date,rank,country_full,country_code,total_points,previous_points,previous_rank,confederation
2026-05-27,82.0,Montenegro,,1297.089937,,,
2026-05-27,83.0,Haiti,,1294.491725,,,
2026-05-27,84.0,Syria,,1282.618448,,,
2026-05-27,85.0,New Zealand,,1279.247312,,,
2026-05-27,86.0,Gabon,,1276.281232,,,
2026-05-27,87.0,Bulgaria,,1272.186022,,,
2026-05-27,88.0,Uganda,,1264.090591,,,
2026-05-27,89.0,Angola,,1263.096811,,,
2026-05-27,90.0,Bahrain,,1258.527492,,,
2026-05-27,91.0,Zambia,,1256.677594,,,
2026-05-27,92.0,Benin,,1250.045847,,,
2026-05-27,93.0,China PR,,1249.061675,,,
2026-05-27,94.0,Guatemala,,1245.773085,,,
2026-05-27,95.0,Palestine,,1244.728802,,,
2026-05-27,96.0,Thailand,,1243.266452,,,
2026-05-27,97.0,Trinidad and Tobago,,1227.318988,,,
2026-05-27,98.0,Belarus,,1227.091183,,,
2026-05-27,99.0,El Salvador,,1226.651963,,,
2026-05-27,100.0,Tajikistan,,1224.925346,,,
2026-05-27,101.0,Mozambique,,1224.311107,,,
2026-05-27,102.0,Luxembourg,,1218.909935,,,
2026-05-27,103.0,Kyrgyz Republic,,1201.224265,,,
2026-05-27,104.0,Madagascar,,1198.872831,,,
2026-05-27,105.0,Armenia,,1196.080104,,,
2026-05-27,106.0,Comoros,,1193.488562,,,
2026-05-27,107.0,Equatorial Guinea,,1190.005687,,,
2026-05-27,108.0,Vietnam,,1189.514081,,,
2026-05-27,109.0,Lebanon,,1187.960362,,,
2026-05-27,110.0,Tanzania,,1186.136602,,,
2026-05-27,111.0,Niger,,1185.094355,,,
2026-05-27,112.0,Libya,,1183.056143,,,
2026-05-27,113.0,Kenya,,1179.542533,,,
2026-05-27,114.0,Kazakhstan,,1173.000634,,,
2026-05-27,115.0,Mauritania,,1171.352596,,,
2026-05-27,116.0,The Gambia,,1161.552272,,,
2026-05-27,117.0,Sudan,,1157.223901,,,
2026-05-27,118.0,Namibia,,1153.218565,,,
2026-05-27,119.0,Korea DPR,,1151.052136,,,
2026-05-27,120.0,Sierra Leone,,1149.096738,,,
2026-05-27,121.0,Malaysia,,1145.887004,,,
2026-05-27,122.0,Indonesia,,1144.730668,,,
2026-05-27,123.0,Suriname,,1140.540363,,,
2026-05-27,124.0,Togo,,1140.351914,,,
2026-05-27,125.0,Faroe Islands,,1135.417636,,,
2026-05-27,126.0,Malawi,,1133.750396,,,
2026-05-27,127.0,Azerbaijan,,1132.970269,,,
2026-05-27,128.0,Cyprus,,1128.497631,,,
2026-05-27,129.0,Estonia,,1123.107651,,,
2026-05-27,130.0,Rwanda,,1117.784132,,,
2026-05-27,131.0,Nicaragua,,1116.861511,,,
