rank_date,rank,country_full,country_code,total_points,previous_points,previous_rank,confederation
2026-05-26,95.0,Palestine,,1244.728802,,,
2026-05-26,96.0,Thailand,,1243.266452,,,
2026-05-26,97.0,Trinidad and Tobago,,1227.318988,,,
2026-05-26,98.0,Belarus,,1227.091183,,,
2026-05-26,99.0,El Salvador,,1226.651963,,,
2026-05-26,100.0,Tajikistan,,1224.925346,,,
2026-05-26,101.0,Mozambique,,1224.311107,,,
2026-05-26,102.0,Luxembourg,,1218.909935,,,
2026-05-26,103.0,Kyrgyz Republic,,1201.224265,,,
2026-05-26,104.0,Madagascar,,1198.872831,,,
2026-05-26,105.0,Armenia,,1196.080104,,,
2026-05-26,106.0,Comoros,,1193.488562,,,
2026-05-26,107.0,Equatorial Guinea,,1190.005687,,,
2026-05-26,108.0,Vietnam,,1189.514081,,,
2026-05-26,109.0,Lebanon,,1187.960362,,,
2026-05-26,110.0,Tanzania,,1186.136602,,,
2026-05-26,111.0,Niger,,1185.094355,,,
2026-05-26,112.0,Libya,,1183.056143,,,
2026-05-26,113.0,Kenya,,1179.542533,,,
2026-05-26,114.0,Kazakhstan,,1173.000634,,,
2026-05-26,115.0,Mauritania,,1171.352596,,,
2026-05-26,116.0,The Gambia,,1161.552272,,,
2026-05-26,117.0,Sudan,,1157.223901,,,
2026-05-26,118.0,Namibia,,1153.218565,,,
2026-05-26,119.0,Korea DPR,,1151.052136,,,
2026-05-26,120.0,Sierra Leone,,1149.096738,,,
2026-05-26,121.0,Malaysia,,1145.887004,,,
2026-05-26,122.0,Indonesia,,1144.730668,,,
2026-05-26,123.0,Suriname,,1140.540363,,,
2026-05-26,124.0,Togo,,1140.351914,,,
2026-05-26,125.0,Faroe Islands,,1135.417636,,,
2026-05-26,126.0,Malawi,,1133.750396,,,
2026-05-26,127.0,Azerbaijan,,1132.970269,,,
2026-05-26,128.0,Cyprus,,1128.497631,,,
2026-05-26,129.0,Estonia,,1123.107651,,,
2026-05-26,130.0,Rwanda,,1117.784132,,,
2026-05-26,131.0,Nicaragua,,1116.861511,,,
2026-05-26,132.0,Zimbabwe,,1113.613422,,,
2026-05-26,133.0,Guinea-Bissau,,1108.088352,,,
2026-05-26,134.0,Congo,,1105.964661,,,
2026-05-26,135.0,Kuwait,,1105.100165,,,
2026-05-26,136.0,Philippines,,1090.953181,,,
2026-05-26,137.0,Turkmenistan,,1087.524195,,,
2026-05-26,138.0,Central African Republic,,1083.571601,,,
2026-05-26,139.0,Latvia,,1082.682045,,,
2026-05-26,140.0,Liberia,,1081.461817,,,
2026-05-26,141.0,India,,1079.518317,,,
2026-05-26,142.0,Dominican Republic,,1077.493839,,,
2026-05-26,143.0,Lesotho,,1065.967624,,,
2026-05-26,144.0,Botswana,,1062.419241,,,
2026-05-26,145.0,Burundi,,1060.216503,,,
2026-05-26,146.0,Lithuania,,1056.336287,,,
2026-05-26,147.0,Ethiopia,,1055.359727,,,
2026-05-26,148.0,Singapore,,1050.346214,,,
2026-05-26,149.0,Yemen,,1049.491681,,,
2026-05-26,150.0,New Caledonia,,1042.618019,,,
2026-05-26,151.0,Guyana,,1041.902415,,,
2026-05-26,152.0,Solomon Islands,,1039.856334,,,
2026-05-26,153.0,"Hong Kong, China",,1038.138321,,,
2026-05-26,154.0,St Kitts and Nevis,,1035.245318,,,
2026-05-26,155.0,Fiji,,1029.697455,,,
2026-05-26,156.0,Puerto Rico,,1020.06828,,,
2026-05-26,157.0,Tahiti,,1019.036032,,,
2026-05-26,158.0,Moldova,,1012.640887,,,
2026-05-26,159.0,Eswatini,,1010.515262,,,
2026-05-26,160.0,Vanuatu,,997.005704,,,
2026-05-26,161.0,Malta,,996.586113,,,
2026-05-26,162.0,Afghanistan,,991.192649,,,
2026-05-26,163.0,Myanmar,,990.809921,,,
2026-05-26,164.0,Grenada,,989.590097,,,
2026-05-26,165.0,Antigua and Barbuda,,986.584414,,,
2026-05-26,166.0,Cuba,,980.490488,,,
2026-05-26,167.0,St Lucia,,980.284636,,,
2026-05-26,168.0,South Sudan,,977.497012,,,
2026-05-26,169.0,Bermuda,,976.869098,,,
2026-05-26,170.0,Papua New Guinea,,974.9011,,,
2026-05-26,171.0,St Vincent and the Grenadines,,963.741411,,,
2026-05-26,172.0,Andorra,,949.444888,,,
2026-05-26,173.0,Maldives,,945.015919,,,
2026-05-26,174.0,Chinese Taipei,,938.20546,,,
2026-05-26,175.0,Montserrat,,916.75251,,,
2026-05-26,176.0,Mauritius,,915.508167,,,
2026-05-26,177.0,Chad,,914.645784,,,
2026-05-26,178.0,Barbados,,914.421435,,,
2026-05-26,179.0,Cambodia,,911.538277,,,
2026-05-26,180.0,Bangladesh,,911.101888,,,
2026-05-26,181.0,Belize,,910.735564,,,
2026-05-26,182.0,Nepal,,902.520361,,,
2026-05-26,183.0,Dominica,,901.36991,,,
2026-05-26,184.0,American Samoa,,883.167811,,,
2026-05-26,185.0,Mongolia,,879.751523,,,
2026-05-26,186.0,Cook Islands,,877.534995,,,
2026-05-26,187.0,Samoa,,876.407812,,,
2026-05-26,188.0,Brunei Darussalam,,875.781799,,,
2026-05-26,189.0,São Tomé and Príncipe,,871.625471,,,
2026-05-26,190.0,Laos,,871.16129,,,
2026-05-26,191.0,Aruba,,867.942623,,,
2026-05-26,192.0,Bhutan,,867.858049,,,
2026-05-26,193.0,Macau,,865.288885,,,
2026-05-26,194.0,Sri Lanka,,857.397398,,,
2026-05-26,195.0,Cayman Islands,,851.737027,,,
2026-05-26,196.0,Djibouti,,847.029301,,,
2026-05-26,197.0,Tonga,,835.64241,,,
2026-05-26,198.0,Timor-Leste,,835.552414,,,
2026-05-26,199.0,Pakistan,,833.155696,,,
2026-05-26,200.0,Somalia,,828.899031,,,
2026-05-26,201.0,Guam,,823.078898,,,
2026-05-26,202.0,Gibraltar,,818.028018,,,
2026-05-26,203.0,Seychelles,,805.326309,,,
2026-05-26,204.0,Turks and Caicos Islands,,803.980015,,,
2026-05-26,205.0,Liechtenstein,,799.800377,,,
2026-05-26,206.0,Bahamas,,796.597847,,,
2026-05-26,207.0,US Virgin Islands,,776.598184,,,
2026-05-26,208.0,British Virgin Islands,,776.537055,,,
2026-05-26,209.0,Anguilla,,759.782993,,,
2026-05-26,210.0,San Marino,,726.033043,,,
2026-05-26,,Eritrea,,855.562018,,,
